"day","Iliterate_60","Iliterate_70","Iliterate_80","Iliterate_90","Basic education_60","Basic education_70","Basic education_80","Basic education_90","Primary education_60","Primary education_70","Primary education_80","Primary education_90","Secondary & Tertiary Education_60","Secondary & Tertiary Education_70","Secondary & Tertiary Education_80","Secondary & Tertiary Education_90"
2002-01-01,4,8,7,12,12,37,20,5,12,8,6,4,3,8,4,0
2002-01-02,2,6,14,3,12,19,28,13,5,14,10,1,4,5,5,0
2002-01-03,2,11,7,8,15,22,20,8,6,10,9,2,7,10,5,3
2002-01-04,1,10,12,7,11,26,36,7,9,15,8,1,2,4,9,2
2002-01-05,2,8,13,5,10,25,21,5,8,7,7,3,3,9,4,4
2002-01-06,4,12,7,8,9,21,26,9,6,9,6,2,3,6,2,2
2002-01-07,0,4,13,5,12,21,30,11,7,13,12,2,3,6,5,0
2002-01-08,2,10,9,4,10,27,34,6,8,7,12,1,1,8,2,1
2002-01-09,4,8,12,10,7,21,28,5,4,12,11,1,4,10,5,0
2002-01-10,5,13,17,8,9,23,31,9,5,8,17,2,3,7,4,5
2002-01-11,1,3,12,11,11,29,28,13,5,9,10,6,2,5,2,4
2002-01-12,4,10,24,6,8,26,30,12,7,13,8,4,5,6,7,2
2002-01-13,9,9,14,5,11,29,33,6,7,11,5,2,6,6,4,1
2002-01-14,3,13,10,10,15,18,24,9,4,14,15,9,2,4,3,2
2002-01-15,4,14,12,11,19,18,28,7,5,8,8,3,4,12,2,2
2002-01-16,6,15,9,6,6,16,20,8,9,11,7,0,9,11,3,0
2002-01-17,5,2,14,10,11,27,24,7,9,13,10,4,8,8,3,4
2002-01-18,1,11,11,10,5,19,20,7,6,19,10,2,5,7,6,1
2002-01-19,1,3,8,7,10,34,28,11,3,10,9,5,6,10,6,0
2002-01-20,2,6,14,5,11,35,33,12,3,16,9,2,5,7,5,1
2002-01-21,6,7,18,4,15,29,22,9,5,18,15,1,1,7,2,2
2002-01-22,7,13,19,5,9,29,26,11,4,16,15,3,4,8,5,0
2002-01-23,2,6,16,14,8,16,22,7,2,11,17,9,7,5,8,2
2002-01-24,4,12,13,8,6,22,39,9,4,10,13,2,3,7,8,1
2002-01-25,8,10,7,10,19,29,31,13,1,12,15,2,5,9,1,1
2002-01-26,4,8,19,11,15,27,34,3,9,8,10,3,7,5,3,0
2002-01-27,6,14,14,7,9,28,15,5,5,9,7,0,5,7,3,1
2002-01-28,3,3,15,11,8,23,33,9,4,11,9,3,12,11,7,1
