"nperiod","year","month","measure","il60","il70","il80","il90","basic60","basic70","basic80","basic90","pri60","pri70","pri80","pri90","st60","st70","st80","st90","all"
1,2002,1,"alldeaths",118,300,414,247,338,769,860,258,174,355,326,87,145,231,139,49,4810
2,2002,2,"alldeaths",79,271,401,202,277,698,762,243,193,331,301,85,131,196,168,49,4387
3,2002,3,"alldeaths",100,279,390,187,265,654,739,267,156,325,308,79,115,184,171,36,4255
4,2002,4,"alldeaths",80,196,335,157,233,631,659,198,159,282,259,71,112,188,130,38,3728
5,2002,5,"alldeaths",82,213,313,165,264,610,592,186,161,243,240,68,110,171,127,43,3588
6,2002,6,"alldeaths",72,211,278,150,229,577,577,202,135,251,256,43,133,168,110,32,3424
7,2002,7,"alldeaths",83,216,278,186,263,605,608,185,157,287,231,66,111,170,132,34,3612
8,2002,8,"alldeaths",66,191,263,152,229,575,547,148,153,244,223,63,134,123,104,38,3253
9,2002,9,"alldeaths",73,185,241,117,233,494,548,142,151,242,216,52,120,175,108,23,3120
10,2002,10,"alldeaths",87,219,269,132,267,609,609,186,148,244,229,69,102,197,129,35,3531
11,2002,11,"alldeaths",69,244,297,133,270,629,633,210,148,293,279,76,140,160,142,39,3762
12,2002,12,"alldeaths",90,284,335,163,308,681,709,248,174,326,331,89,128,214,165,62,4307
13,2003,1,"alldeaths",112,292,410,201,264,766,885,296,166,375,355,125,145,237,174,54,4857
14,2003,2,"alldeaths",85,254,371,163,245,649,750,285,170,328,293,90,126,204,173,56,4242
15,2003,3,"alldeaths",81,268,324,193,244,629,722,276,192,313,291,92,143,202,143,50,4163
16,2003,4,"alldeaths",78,219,319,153,246,619,696,194,132,280,286,79,133,174,169,49,3826
17,2003,5,"alldeaths",79,233,341,156,230,590,672,214,160,306,284,78,139,183,132,49,3846
18,2003,6,"alldeaths",72,241,349,163,251,622,672,241,139,280,303,95,109,180,161,42,3920
19,2003,7,"alldeaths",80,222,335,157,247,609,689,238,134,310,272,87,120,158,156,34,3848
20,2003,8,"alldeaths",85,303,396,204,277,714,784,304,164,319,329,119,148,222,171,60,4599
21,2003,9,"alldeaths",74,204,273,122,226,544,564,185,121,269,255,76,110,177,144,49,3393
22,2003,10,"alldeaths",63,230,276,144,257,594,635,191,161,252,263,65,129,178,136,32,3606
23,2003,11,"alldeaths",68,244,338,137,211,646,705,236,149,314,292,89,122,207,183,54,3995
