"nperiod","year","month","measure","all","ily","ilo","bay","bao","pry","pro","sty","sto"
1,2002,1,"alldeaths",4810,418,661,1107,1118,529,413,376,188
2,2002,2,"alldeaths",4387,350,603,975,1005,524,386,327,217
3,2002,3,"alldeaths",4255,379,577,919,1006,481,387,299,207
4,2002,4,"alldeaths",3728,276,492,864,857,441,330,300,168
5,2002,5,"alldeaths",3588,295,478,874,778,404,308,281,170
6,2002,6,"alldeaths",3424,283,428,806,779,386,299,301,142
7,2002,7,"alldeaths",3612,299,464,868,793,444,297,281,166
8,2002,8,"alldeaths",3253,257,415,804,695,397,286,257,142
9,2002,9,"alldeaths",3120,258,358,727,690,393,268,295,131
10,2002,10,"alldeaths",3531,306,401,876,795,392,298,299,164
11,2002,11,"alldeaths",3762,313,430,899,843,441,355,300,181
12,2002,12,"alldeaths",4307,374,498,989,957,500,420,342,227
13,2003,1,"alldeaths",4857,404,611,1030,1181,541,480,382,228
14,2003,2,"alldeaths",4242,339,534,894,1035,498,383,330,229
15,2003,3,"alldeaths",4163,349,517,873,998,505,383,345,193
16,2003,4,"alldeaths",3826,297,472,865,890,412,365,307,218
17,2003,5,"alldeaths",3846,312,497,820,886,466,362,322,181
18,2003,6,"alldeaths",3920,313,512,873,913,419,398,289,203
19,2003,7,"alldeaths",3848,302,492,856,927,444,359,278,190
20,2003,8,"alldeaths",4599,388,600,991,1088,483,448,370,231
21,2003,9,"alldeaths",3393,278,395,770,749,390,331,287,193
22,2003,10,"alldeaths",3606,293,420,851,826,413,328,307,168
23,2003,11,"alldeaths",3995,312,475,857,941,463,381,329,237
24,2003,12,"alldeaths",4952,397,628,1068,1125,548,492,408,286
25,2004,1,"alldeaths",5022,379,588,1127,1232,550,452,414,280
26,2004,2,"alldeaths",4249,332,536,956,994,460,441,304,226
27,2004,3,"alldeaths",4541,340,558,1005,1126,488,465,346,213
28,2004,4,"alldeaths",3997,308,489,930,917,478,377,307,191
29,2004,5,"alldeaths",3865,280,446,878,926,425,361,345,204
30,2004,6,"alldeaths",3582,262,395,789,881,443,354,297,161
31,2004,7,"alldeaths",3799,292,471,832,895,431,368,289,221
32,2004,8,"alldeaths",3621,242,433,781,863,433,363,312,194
33,2004,9,"alldeaths",3300,276,385,731,765,395,293,288,167
34,2004,10,"alldeaths",3710,293,420,788,841,470,386,323,189
35,2004,11,"alldeaths",3942,305,439,805,956,470,421,352,194
36,2004,12,"alldeaths",4777,341,531,1054,1202,527,476,373,273
37,2005,1,"alldeaths",6756,496,876,1295,1800,681,702,494,412
38,2005,2,"alldeaths",5355,354,694,1067,1436,525,560,404,315
39,2005,3,"alldeaths",5037,356,613,1059,1292,531,533,372,281
40,2005,4,"alldeaths",4019,303,494,806,983,475,410,330,218
41,2005,5,"alldeaths",3926,295,456,886,958,422,376,323,210
42,2005,6,"alldeaths",3640,258,413,793,939,418,378,259,182
43,2005,7,"alldeaths",3677,260,414,764,872,433,412,321,201
44,2005,8,"alldeaths",3553,241,377,763,828,432,362,347,203
45,2005,9,"alldeaths",3303,223,340,710,775,367,367,343,178
46,2005,10,"alldeaths",3590,263,399,768,847,407,374,342,190
47,2005,11,"alldeaths",3955,285,438,813,968,434,419,351,247
48,2005,12,"alldeaths",4499,302,492,926,1142,524,476,386,251
49,2006,1,"alldeaths",4594,292,559,929,1164,540,477,366,267
50,2006,2,"alldeaths",4284,269,500,886,1121,442,467,343,256
51,2006,3,"alldeaths",4511,299,476,906,1142,550,519,361,258
52,2006,4,"alldeaths",3910,258,436,806,999,448,404,324,235
53,2006,5,"alldeaths",3896,257,421,799,999,426,414,332,248
54,2006,6,"alldeaths",3608,248,381,753,913,395,359,326,233
55,2006,7,"alldeaths",4049,259,435,786,988,484,485,371,241
56,2006,8,"alldeaths",3853,243,413,759,961,426,471,351,229
57,2006,9,"alldeaths",3696,246,412,729,912,420,422,332,223
58,2006,10,"alldeaths",3784,255,412,719,990,441,408,334,225
59,2006,11,"alldeaths",3883,251,409,786,984,449,408,358,238
60,2006,12,"alldeaths",4714,282,550,925,1227,485,539,426,280
61,2007,1,"alldeaths",5682,383,667,1067,1456,619,657,489,344
62,2007,2,"alldeaths",4897,306,563,906,1289,556,568,414,295
63,2007,3,"alldeaths",4458,266,499,902,1124,469,518,415,265
64,2007,4,"alldeaths",4320,268,484,850,1153,476,458,377,254
65,2007,5,"alldeaths",4224,260,467,873,1058,446,487,390,243
66,2007,6,"alldeaths",3856,234,429,784,998,397,420,371,223
67,2007,7,"alldeaths",4021,265,401,771,1058,458,458,385,225
68,2007,8,"alldeaths",3828,266,449,760,969,416,437,325,206
69,2007,9,"alldeaths",3631,216,367,706,943,438,394,357,210
70,2007,10,"alldeaths",3929,225,415,783,974,427,471,372,262
71,2007,11,"alldeaths",4403,233,498,807,1194,504,509,373,285
72,2007,12,"alldeaths",4933,309,509,958,1343,500,559,447,308
73,2008,1,"alldeaths",5231,310,557,986,1399,566,632,439,342
74,2008,2,"alldeaths",4612,283,485,837,1288,504,537,367,311
75,2008,3,"alldeaths",4604,282,531,823,1237,505,560,363,303
76,2008,4,"alldeaths",4224,229,439,822,1147,458,466,388,275
77,2008,5,"alldeaths",4053,245,393,793,1069,457,493,336,267
78,2008,6,"alldeaths",4050,203,419,780,1095,449,505,356,243
79,2008,7,"alldeaths",4100,252,413,782,1063,468,502,364,256
80,2008,8,"alldeaths",3968,223,408,682,1064,449,515,348,279
81,2008,9,"alldeaths",3517,219,364,646,911,406,397,340,234
82,2008,10,"alldeaths",3947,237,387,709,1044,447,475,373,275
83,2008,11,"alldeaths",4404,274,470,743,1200,496,541,391,289
84,2008,12,"alldeaths",5326,296,594,916,1442,567,650,466,395
85,2009,1,"alldeaths",5954,314,663,1062,1616,608,791,478,422
86,2009,2,"alldeaths",4610,255,525,792,1297,496,529,415,301
87,2009,3,"alldeaths",4525,256,491,775,1242,482,577,402,300
88,2009,4,"alldeaths",4037,218,425,713,1075,436,513,382,275
89,2009,5,"alldeaths",4129,251,446,710,1136,438,478,390,280
90,2009,6,"alldeaths",3821,210,397,710,1016,415,473,351,249
91,2009,7,"alldeaths",3834,180,399,673,1042,418,465,394,263
92,2009,8,"alldeaths",3851,229,451,636,1057,414,469,365,230
93,2009,9,"alldeaths",3650,191,374,679,910,437,444,379,236
94,2009,10,"alldeaths",3892,203,432,725,1016,436,464,359,257
95,2009,11,"alldeaths",4151,226,422,785,1069,480,514,400,255
96,2009,12,"alldeaths",4776,240,518,830,1281,532,624,451,300
97,2010,1,"alldeaths",4981,256,555,812,1417,538,618,455,330
98,2010,2,"alldeaths",4516,228,475,769,1293,455,565,421,310
99,2010,3,"alldeaths",4679,223,523,788,1350,489,609,366,331
100,2010,4,"alldeaths",4288,218,466,734,1161,426,562,391,330
101,2010,5,"alldeaths",4196,226,451,677,1184,440,508,428,282
102,2010,6,"alldeaths",3879,193,365,680,1035,441,494,394,277
103,2010,7,"alldeaths",4213,207,424,725,1152,471,558,405,271
104,2010,8,"alldeaths",4006,202,398,651,1085,451,547,378,294
105,2010,9,"alldeaths",3679,169,386,605,990,442,452,354,281
106,2010,10,"alldeaths",4164,193,414,718,1119,463,533,430,294
107,2010,11,"alldeaths",4303,210,443,667,1206,461,557,437,322
108,2010,12,"alldeaths",4653,211,492,718,1293,523,645,443,328
109,2011,1,"alldeaths",5129,259,542,816,1402,550,702,451,407
110,2011,2,"alldeaths",4892,218,509,769,1419,480,679,442,376
111,2011,3,"alldeaths",4899,232,519,791,1350,516,684,458,349
112,2011,4,"alldeaths",4194,183,447,679,1190,444,579,361,311
113,2011,5,"alldeaths",4257,171,425,628,1232,428,581,459,333
114,2011,6,"alldeaths",4016,157,432,599,1140,441,514,441,292
115,2011,7,"alldeaths",4005,199,393,655,1131,430,503,395,299
116,2011,8,"alldeaths",4003,159,417,646,1128,433,546,393,281
117,2011,9,"alldeaths",3680,139,365,558,1060,392,495,376,295
118,2011,10,"alldeaths",4108,176,419,643,1120,445,574,428,303
119,2011,11,"alldeaths",4287,206,428,689,1232,412,598,399,323
120,2011,12,"alldeaths",4940,227,506,759,1416,478,671,473,410
121,2012,1,"alldeaths",5608,231,622,788,1706,523,776,518,444
122,2012,2,"alldeaths",6724,287,785,913,2101,655,956,522,505
123,2012,3,"alldeaths",5602,242,604,813,1658,586,780,480,439
124,2012,4,"alldeaths",4502,180,441,674,1314,509,607,426,351
125,2012,5,"alldeaths",4310,168,420,636,1282,456,569,452,327
126,2012,6,"alldeaths",3940,148,424,599,1123,390,543,412,301
127,2012,7,"alldeaths",3798,156,389,587,1019,392,544,405,306
128,2012,8,"alldeaths",3999,176,429,587,1121,401,568,427,290
129,2012,9,"alldeaths",3708,151,372,559,1003,408,526,386,303
130,2012,10,"alldeaths",3904,151,373,597,1132,416,527,411,297
131,2012,11,"alldeaths",4183,174,423,621,1148,437,615,433,332
132,2012,12,"alldeaths",4729,186,511,612,1386,475,676,487,396
133,2013,1,"alldeaths",5107,188,505,689,1527,535,718,514,431
134,2013,2,"alldeaths",4689,170,464,668,1457,468,654,449,359
135,2013,3,"alldeaths",4915,179,500,670,1472,477,729,488,400
136,2013,4,"alldeaths",4411,149,440,635,1293,461,620,455,358
137,2013,5,"alldeaths",4231,158,427,573,1229,460,599,433,352
138,2013,6,"alldeaths",4039,148,415,552,1182,429,582,424,307
139,2013,7,"alldeaths",4130,133,445,577,1203,431,561,463,317
140,2013,8,"alldeaths",4059,151,394,556,1172,446,550,451,339
141,2013,9,"alldeaths",3679,126,338,514,1064,414,493,424,306
142,2013,10,"alldeaths",4028,141,368,569,1131,419,570,479,351
143,2013,11,"alldeaths",4335,132,420,560,1307,446,647,452,371
144,2013,12,"alldeaths",5029,180,513,614,1500,488,761,525,448
145,2014,1,"alldeaths",5493,217,556,697,1674,523,807,538,481
146,2014,2,"alldeaths",4838,157,542,631,1459,468,701,484,396
147,2014,3,"alldeaths",4616,171,482,592,1387,438,681,497,368
148,2014,4,"alldeaths",4392,137,432,555,1313,425,664,468,398
149,2014,5,"alldeaths",4135,130,430,515,1208,401,636,429,386
