"nperiod","year","month","measure","il60","il70","il80","il90","basic60","basic70","basic80","basic90","pri60","pri70","pri80","pri90","st60","st70","st80","st90","all"
1,2002,1,"influenza",0,1,0,2,0,0,2,3,0,2,1,1,0,1,2,0,15
2,2002,2,"influenza",0,1,3,1,0,1,4,1,0,0,2,1,0,0,0,0,14
3,2002,3,"influenza",0,1,3,0,0,0,1,2,0,0,0,1,0,0,0,1,9
4,2002,4,"influenza",0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,10
5,2002,5,"influenza",0,0,2,1,0,1,1,2,0,1,1,1,0,0,0,0,10
6,2002,6,"influenza",0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,5
7,2002,7,"influenza",0,0,2,2,0,1,1,0,0,1,2,0,0,0,2,0,11
8,2002,8,"influenza",0,0,1,2,0,3,1,0,0,1,0,0,0,0,0,0,8
9,2002,9,"influenza",0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5
10,2002,10,"influenza",0,0,0,0,0,3,2,0,0,1,2,0,0,0,1,0,9
11,2002,11,"influenza",0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,6
12,2002,12,"influenza",0,1,2,0,0,1,1,1,1,1,0,1,0,1,0,0,10
13,2003,1,"influenza",1,1,0,5,0,1,4,1,0,0,2,0,0,0,1,1,17
14,2003,2,"influenza",0,0,1,2,0,1,1,1,0,1,3,1,0,0,0,1,12
15,2003,3,"influenza",0,1,0,2,0,2,5,0,0,0,1,1,0,0,0,0,12
16,2003,4,"influenza",0,2,1,0,0,0,2,1,0,1,4,1,0,0,2,0,14
17,2003,5,"influenza",0,1,2,0,0,0,1,1,0,0,0,0,0,0,2,1,8
18,2003,6,"influenza",0,0,1,1,0,1,0,4,0,1,1,0,0,0,0,0,9
19,2003,7,"influenza",0,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,8
20,2003,8,"influenza",0,3,3,2,1,4,1,2,0,0,0,1,0,0,2,0,19
21,2003,9,"influenza",0,1,2,0,0,1,2,1,0,0,4,0,0,0,0,0,11
22,2003,10,"influenza",0,2,1,2,0,2,3,0,0,0,0,1,0,1,0,0,12
23,2003,11,"influenza",0,0,1,3,0,0,3,1,0,0,1,1,0,0,0,1,11
24,2003,12,"influenza",0,0,2,2,0,1,7,4,0,1,2,2,0,1,1,0,23
25,2004,1,"influenza",0,0,3,2,0,2,2,6,0,2,2,0,0,1,1,1,22
26,2004,2,"influenza",0,0,2,1,0,0,2,1,0,0,3,0,0,0,0,0,9
27,2004,3,"influenza",0,0,1,1,0,1,2,0,1,1,2,2,0,0,0,1,12
28,2004,4,"influenza",0,0,1,1,0,1,3,1,0,0,1,1,0,0,1,1,11
29,2004,5,"influenza",0,0,1,1,0,1,0,2,0,0,1,0,0,0,1,0,7
30,2004,6,"influenza",0,0,0,1,0,3,0,1,0,0,1,1,0,0,0,1,8
31,2004,7,"influenza",0,1,1,0,0,3,0,0,0,0,0,1,0,0,1,1,8
32,2004,8,"influenza",0,0,1,1,0,0,3,0,0,1,3,1,0,0,0,0,10
33,2004,9,"influenza",0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,6
34,2004,10,"influenza",0,2,0,1,0,3,4,0,0,1,0,0,0,1,1,0,13
35,2004,11,"influenza",1,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,7
36,2004,12,"influenza",0,2,2,4,0,1,4,3,0,0,2,0,0,1,2,0,21
37,2005,1,"influenza",1,1,4,1,0,3,12,5,0,1,3,1,0,2,3,1,38
38,2005,2,"influenza",0,1,6,4,0,2,8,4,0,2,2,3,0,0,0,0,32
39,2005,3,"influenza",0,1,2,1,0,3,2,2,0,1,1,0,0,1,0,0,14
40,2005,4,"influenza",0,0,3,2,0,0,2,0,0,0,0,0,0,1,1,0,9
41,2005,5,"influenza",0,0,1,1,0,0,2,3,0,0,1,0,0,0,0,0,8
42,2005,6,"influenza",0,0,0,1,0,0,2,3,0,1,2,0,0,0,0,0,9
43,2005,7,"influenza",0,2,0,1,0,0,3,2,1,2,3,0,0,1,1,0,16
44,2005,8,"influenza",0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,5
45,2005,9,"influenza",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3
46,2005,10,"influenza",0,0,1,1,0,1,3,1,0,1,1,1,0,2,0,0,12
47,2005,11,"influenza",0,0,0,2,0,1,0,1,0,0,2,0,1,0,0,0,7
48,2005,12,"influenza",0,0,1,1,0,1,3,3,0,0,1,0,0,0,1,0,11
49,2006,1,"influenza",0,2,1,3,0,1,6,2,0,0,1,0,0,0,0,0,16
50,2006,2,"influenza",0,0,2,1,0,3,2,3,0,0,2,0,0,0,0,1,14
51,2006,3,"influenza",0,0,2,2,0,2,1,1,0,2,0,1,0,0,1,0,12
52,2006,4,"influenza",0,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,7
53,2006,5,"influenza",0,1,0,0,0,0,5,1,0,1,1,0,0,0,0,0,9
54,2006,6,"influenza",0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,4
55,2006,7,"influenza",1,0,0,1,0,1,6,3,0,0,1,1,0,1,0,0,15
56,2006,8,"influenza",0,0,1,0,0,1,3,2,0,2,2,0,0,0,0,1,12
57,2006,9,"influenza",0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,1,8
58,2006,10,"influenza",0,0,1,0,0,1,0,3,0,0,2,2,0,0,0,0,9
59,2006,11,"influenza",1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,6
