"nperiod","year","month","measure","all","ily","ilo","bay","bao","pry","pro","sty","sto"
1,2002,1,"influenza",15,1,2,0,5,2,2,1,2
2,2002,2,"influenza",14,1,4,1,5,0,3,0,0
3,2002,3,"influenza",9,1,3,0,3,0,1,0,1
4,2002,4,"influenza",10,0,2,0,8,0,0,0,0
5,2002,5,"influenza",10,0,3,1,3,1,2,0,0
6,2002,6,"influenza",5,0,1,0,3,0,1,0,0
7,2002,7,"influenza",11,0,4,1,1,1,2,0,2
8,2002,8,"influenza",8,0,3,3,1,1,0,0,0
9,2002,9,"influenza",5,1,1,0,1,1,0,0,1
10,2002,10,"influenza",9,0,0,3,2,1,2,0,1
11,2002,11,"influenza",6,0,3,1,1,0,1,0,0
12,2002,12,"influenza",10,1,2,1,2,2,1,1,0
13,2003,1,"influenza",17,2,5,1,5,0,2,0,2
14,2003,2,"influenza",12,0,3,1,2,1,4,0,1
15,2003,3,"influenza",12,1,2,2,5,0,2,0,0
16,2003,4,"influenza",14,2,1,0,3,1,5,0,2
17,2003,5,"influenza",8,1,2,0,2,0,0,0,3
18,2003,6,"influenza",9,0,2,1,4,1,1,0,0
19,2003,7,"influenza",8,1,1,2,3,1,0,0,0
20,2003,8,"influenza",19,3,5,5,3,0,1,0,2
21,2003,9,"influenza",11,1,2,1,3,0,4,0,0
22,2003,10,"influenza",12,2,3,2,3,0,1,1,0
23,2003,11,"influenza",11,0,4,0,4,0,2,0,1
24,2003,12,"influenza",23,0,4,1,11,1,4,1,1
25,2004,1,"influenza",22,0,5,2,8,2,2,1,2
26,2004,2,"influenza",9,0,3,0,3,0,3,0,0
27,2004,3,"influenza",12,0,2,1,2,2,4,0,1
28,2004,4,"influenza",11,0,2,1,4,0,2,0,2
29,2004,5,"influenza",7,0,2,1,2,0,1,0,1
30,2004,6,"influenza",8,0,1,3,1,0,2,0,1
31,2004,7,"influenza",8,1,1,3,0,0,1,0,2
32,2004,8,"influenza",10,0,2,0,3,1,4,0,0
33,2004,9,"influenza",6,1,1,0,1,1,1,0,1
34,2004,10,"influenza",13,2,1,3,4,1,0,1,1
35,2004,11,"influenza",7,1,1,0,2,0,2,1,0
36,2004,12,"influenza",21,2,6,1,7,0,2,1,2
37,2005,1,"influenza",38,2,5,3,17,1,4,2,4
38,2005,2,"influenza",32,1,10,2,12,2,5,0,0
39,2005,3,"influenza",14,1,3,3,4,1,1,1,0
40,2005,4,"influenza",9,0,5,0,2,0,0,1,1
41,2005,5,"influenza",8,0,2,0,5,0,1,0,0
42,2005,6,"influenza",9,0,1,0,5,1,2,0,0
43,2005,7,"influenza",16,2,1,0,5,3,3,1,1
44,2005,8,"influenza",5,0,0,0,1,1,3,0,0
45,2005,9,"influenza",3,0,0,0,1,0,1,1,0
46,2005,10,"influenza",12,0,2,1,4,1,2,2,0
47,2005,11,"influenza",7,0,2,1,1,0,2,1,0
48,2005,12,"influenza",11,0,2,1,6,0,1,0,1
49,2006,1,"influenza",16,2,4,1,8,0,1,0,0
50,2006,2,"influenza",14,0,3,3,5,0,2,0,1
51,2006,3,"influenza",12,0,4,2,2,2,1,0,1
52,2006,4,"influenza",7,0,1,1,1,0,2,0,2
53,2006,5,"influenza",9,1,0,0,6,1,1,0,0
54,2006,6,"influenza",4,0,1,0,2,0,1,0,0
55,2006,7,"influenza",15,1,1,1,9,0,2,1,0
56,2006,8,"influenza",12,0,1,1,5,2,2,0,1
57,2006,9,"influenza",8,0,1,2,3,0,1,0,1
58,2006,10,"influenza",9,0,1,1,3,0,4,0,0
59,2006,11,"influenza",6,1,2,0,2,0,1,0,0
60,2006,12,"influenza",15,0,5,0,6,1,1,0,2
61,2007,1,"influenza",23,1,3,4,7,4,3,0,1
62,2007,2,"influenza",33,2,4,2,15,1,7,0,2
63,2007,3,"influenza",5,0,1,0,1,0,2,0,1
64,2007,4,"influenza",15,0,3,1,4,1,3,0,3
65,2007,5,"influenza",15,1,1,0,9,1,2,0,1
66,2007,6,"influenza",11,0,2,1,5,0,1,1,1
67,2007,7,"influenza",8,0,2,2,2,0,0,0,2
68,2007,8,"influenza",9,0,0,2,1,1,3,0,2
69,2007,9,"influenza",7,0,1,1,4,0,1,0,0
70,2007,10,"influenza",12,0,3,3,3,2,1,0,0
71,2007,11,"influenza",20,0,3,2,10,3,1,0,1
72,2007,12,"influenza",16,0,2,2,6,0,5,1,0
73,2008,1,"influenza",33,4,2,1,18,1,5,2,0
74,2008,2,"influenza",19,1,6,0,9,0,2,0,1
75,2008,3,"influenza",16,0,2,3,4,2,3,1,1
76,2008,4,"influenza",10,0,2,1,2,0,3,0,2
77,2008,5,"influenza",18,0,1,3,8,2,2,1,1
78,2008,6,"influenza",10,1,2,0,4,0,2,0,1
79,2008,7,"influenza",15,1,2,1,5,0,5,0,1
80,2008,8,"influenza",15,0,5,2,5,0,2,0,1
