"day","Iliterate_60","Iliterate_70","Iliterate_80","Iliterate_90","Basic education_60","Basic education_70","Basic education_80","Basic education_90","Primary education_60","Primary education_70","Primary education_80","Primary education_90","Secondary & Tertiary Education_60","Secondary & Tertiary Education_70","Secondary & Tertiary Education_80","Secondary & Tertiary Education_90"
2002-01-01,186.65,207.636,102.508,20.956,705.955,640.816,228.652,29.593,461.782,318.76,99.904,11.05,391.978,197.73,56.665,6.048
2002-01-02,186.578,207.638,102.505,20.952,705.794,640.837,228.704,29.598,461.74,318.8,99.928,11.053,392.013,197.759,56.682,6.05
2002-01-03,186.506,207.64,102.503,20.949,705.632,640.858,228.756,29.603,461.699,318.84,99.951,11.057,392.048,197.787,56.699,6.051
2002-01-04,186.435,207.642,102.5,20.946,705.471,640.879,228.808,29.608,461.657,318.881,99.974,11.06,392.083,197.815,56.716,6.053
2002-01-05,186.363,207.644,102.497,20.942,705.31,640.901,228.86,29.613,461.615,318.921,99.998,11.064,392.118,197.843,56.733,6.054
2002-01-06,186.291,207.646,102.495,20.939,705.148,640.922,228.912,29.618,461.573,318.961,100.021,11.067,392.153,197.872,56.751,6.056
2002-01-07,186.219,207.648,102.492,20.936,704.987,640.943,228.964,29.623,461.531,319.001,100.045,11.071,392.188,197.9,56.768,6.057
2002-01-08,186.147,207.649,102.489,20.933,704.826,640.964,229.016,29.628,461.489,319.042,100.068,11.074,392.223,197.928,56.785,6.059
2002-01-09,186.075,207.651,102.487,20.929,704.665,640.985,229.068,29.633,461.447,319.082,100.091,11.078,392.258,197.956,56.802,6.061
2002-01-10,186.003,207.653,102.484,20.926,704.503,641.007,229.121,29.638,461.406,319.122,100.115,11.081,392.293,197.985,56.819,6.062
2002-01-11,185.931,207.655,102.481,20.923,704.342,641.028,229.173,29.643,461.364,319.162,100.138,11.084,392.328,198.013,56.836,6.064
2002-01-12,185.859,207.657,102.479,20.92,704.181,641.049,229.225,29.648,461.322,319.203,100.162,11.088,392.363,198.041,56.853,6.065
2002-01-13,185.788,207.659,102.476,20.916,704.02,641.07,229.277,29.653,461.28,319.243,100.185,11.091,392.398,198.069,56.87,6.067
2002-01-14,185.716,207.661,102.473,20.913,703.858,641.091,229.329,29.658,461.238,319.283,100.208,11.095,392.433,198.098,56.887,6.069
2002-01-15,185.644,207.663,102.471,20.91,703.697,641.113,229.381,29.663,461.196,319.324,100.232,11.098,392.468,198.126,56.904,6.07
2002-01-16,185.572,207.665,102.468,20.906,703.536,641.134,229.433,29.668,461.154,319.364,100.255,11.102,392.503,198.154,56.921,6.072
2002-01-17,185.5,207.667,102.465,20.903,703.375,641.155,229.485,29.673,461.113,319.404,100.279,11.105,392.538,198.183,56.938,6.073
2002-01-18,185.428,207.669,102.463,20.9,703.213,641.176,229.537,29.678,461.071,319.444,100.302,11.109,392.573,198.211,56.955,6.075
2002-01-19,185.356,207.671,102.46,20.897,703.052,641.197,229.59,29.682,461.029,319.485,100.325,11.112,392.608,198.239,56.972,6.077
2002-01-20,185.284,207.673,102.458,20.893,702.891,641.219,229.642,29.687,460.987,319.525,100.349,11.115,392.643,198.267,56.989,6.078
2002-01-21,185.212,207.675,102.455,20.89,702.729,641.24,229.694,29.692,460.945,319.565,100.372,11.119,392.678,198.296,57.006,6.08
2002-01-22,185.141,207.677,102.452,20.887,702.568,641.261,229.746,29.697,460.903,319.605,100.396,11.122,392.713,198.324,57.023,6.081
2002-01-23,185.069,207.679,102.45,20.884,702.407,641.282,229.798,29.702,460.861,319.646,100.419,11.126,392.748,198.352,57.04,6.083
2002-01-24,184.997,207.681,102.447,20.88,702.246,641.303,229.85,29.707,460.82,319.686,100.442,11.129,392.782,198.38,57.057,6.084
2002-01-25,184.925,207.682,102.444,20.877,702.084,641.325,229.902,29.712,460.778,319.726,100.466,11.133,392.817,198.409,57.074,6.086
2002-01-26,184.853,207.684,102.442,20.874,701.923,641.346,229.954,29.717,460.736,319.767,100.489,11.136,392.852,198.437,57.091,6.088
2002-01-27,184.781,207.686,102.439,20.871,701.762,641.367,230.006,29.722,460.694,319.807,100.513,11.14,392.887,198.465,57.108,6.089
2002-01-28,184.709,207.688,102.436,20.867,701.601,641.388,230.059,29.727,460.652,319.847,100.536,11.143,392.922,198.493,57.126,6.091
2002-01-29,184.637,207.69,102.434,20.864,701.439,641.409,230.111,29.732,460.61,319.887,100.559,11.146,392.957,198.522,57.143,6.092
2002-01-30,184.565,207.692,102.431,20.861,701.278,641.431,230.163,29.737,460.568,319.928,100.583,11.15,392.992,198.55,57.16,6.094
2002-01-31,184.494,207.694,102.428,20.857,701.117,641.452,230.215,29.742,460.526,319.968,100.606,11.153,393.027,198.578,57.177,6.096
2002-02-01,184.422,207.696,102.426,20.854,700.956,641.473,230.267,29.747,460.485,320.008,100.63,11.157,393.062,198.606,57.194,6.097
2002-02-02,184.35,207.698,102.424,20.854,700.772,641.539,230.314,29.751,460.448,320.055,100.651,11.16,393.113,198.638,57.206,6.099
2002-02-03,184.278,207.701,102.422,20.854,700.589,641.605,230.36,29.756,460.412,320.101,100.673,11.162,393.163,198.669,57.218,6.1
2002-02-04,184.207,207.703,102.42,20.853,700.406,641.671,230.407,29.761,460.375,320.148,100.695,11.165,393.213,198.7,57.23,6.102
2002-02-05,184.135,207.705,102.418,20.853,700.223,641.737,230.454,29.766,460.339,320.194,100.716,11.168,393.264,198.731,57.242,6.103
2002-02-06,184.063,207.708,102.416,20.853,700.039,641.802,230.5,29.77,460.303,320.24,100.738,11.171,393.314,198.762,57.254,6.105
2002-02-07,183.992,207.71,102.415,20.852,699.856,641.868,230.547,29.775,460.266,320.287,100.759,11.174,393.364,198.793,57.266,6.107
2002-02-08,183.92,207.713,102.413,20.852,699.673,641.934,230.593,29.78,460.23,320.333,100.781,11.177,393.415,198.824,57.279,6.108
2002-02-09,183.848,207.715,102.411,20.852,699.49,642,230.64,29.784,460.194,320.38,100.803,11.179,393.465,198.855,57.291,6.11
2002-02-10,183.777,207.717,102.409,20.852,699.306,642.066,230.687,29.789,460.157,320.426,100.824,11.182,393.515,198.886,57.303,6.111
2002-02-11,183.705,207.72,102.407,20.851,699.123,642.132,230.733,29.794,460.121,320.473,100.846,11.185,393.566,198.917,57.315,6.113
2002-02-12,183.633,207.722,102.405,20.851,698.94,642.198,230.78,29.798,460.084,320.519,100.867,11.188,393.616,198.948,57.327,6.114
2002-02-13,183.562,207.724,102.403,20.851,698.757,642.264,230.827,29.803,460.048,320.566,100.889,11.191,393.667,198.98,57.339,6.116
2002-02-14,183.49,207.727,102.402,20.85,698.573,642.33,230.873,29.808,460.012,320.612,100.911,11.194,393.717,199.011,57.351,6.118
2002-02-15,183.418,207.729,102.4,20.85,698.39,642.396,230.92,29.812,459.975,320.658,100.932,11.196,393.767,199.042,57.363,6.119
2002-02-16,183.347,207.731,102.398,20.85,698.207,642.462,230.967,29.817,459.939,320.705,100.954,11.199,393.818,199.073,57.376,6.121
2002-02-17,183.275,207.734,102.396,20.85,698.024,642.527,231.013,29.822,459.903,320.751,100.975,11.202,393.868,199.104,57.388,6.122
2002-02-18,183.203,207.736,102.394,20.849,697.84,642.593,231.06,29.827,459.866,320.798,100.997,11.205,393.918,199.135,57.4,6.124
2002-02-19,183.132,207.738,102.392,20.849,697.657,642.659,231.106,29.831,459.83,320.844,101.019,11.208,393.969,199.166,57.412,6.125
2002-02-20,183.06,207.741,102.39,20.849,697.474,642.725,231.153,29.836,459.793,320.891,101.04,11.211,394.019,199.197,57.424,6.127
2002-02-21,182.988,207.743,102.389,20.848,697.291,642.791,231.2,29.841,459.757,320.937,101.062,11.213,394.069,199.228,57.436,6.128
2002-02-22,182.916,207.745,102.387,20.848,697.107,642.857,231.246,29.845,459.721,320.984,101.084,11.216,394.12,199.259,57.448,6.13
2002-02-23,182.845,207.748,102.385,20.848,696.924,642.923,231.293,29.85,459.684,321.03,101.105,11.219,394.17,199.291,57.46,6.132
2002-02-24,182.773,207.75,102.383,20.847,696.741,642.989,231.34,29.855,459.648,321.076,101.127,11.222,394.22,199.322,57.473,6.133
2002-02-25,182.701,207.752,102.381,20.847,696.558,643.055,231.386,29.859,459.612,321.123,101.148,11.225,394.271,199.353,57.485,6.135
2002-02-26,182.63,207.755,102.379,20.847,696.374,643.121,231.433,29.864,459.575,321.169,101.17,11.228,394.321,199.384,57.497,6.136
2002-02-27,182.558,207.757,102.377,20.847,696.191,643.186,231.48,29.869,459.539,321.216,101.192,11.23,394.372,199.415,57.509,6.138
2002-02-28,182.486,207.759,102.376,20.846,696.008,643.252,231.526,29.873,459.502,321.262,101.213,11.233,394.422,199.446,57.521,6.139
2002-03-01,182.415,207.762,102.374,20.846,695.825,643.318,231.573,29.878,459.466,321.309,101.235,11.236,394.472,199.477,57.533,6.141
2002-03-02,182.353,207.763,102.374,20.844,695.691,643.369,231.617,29.882,459.438,321.353,101.26,11.24,394.53,199.51,57.545,6.143
2002-03-03,182.292,207.764,102.374,20.842,695.558,643.419,231.662,29.887,459.409,321.398,101.286,11.244,394.588,199.542,57.558,6.146
2002-03-04,182.231,207.765,102.375,20.841,695.424,643.47,231.706,29.891,459.381,321.442,101.312,11.248,394.645,199.575,57.57,6.148
2002-03-05,182.169,207.766,102.375,20.839,695.291,643.52,231.75,29.895,459.352,321.486,101.338,11.252,394.703,199.607,57.582,6.151
2002-03-06,182.108,207.767,102.375,20.837,695.158,643.57,231.795,29.899,459.323,321.531,101.363,11.256,394.761,199.64,57.594,6.153
2002-03-07,182.046,207.768,102.375,20.835,695.024,643.621,231.839,29.904,459.295,321.575,101.389,11.261,394.818,199.673,57.606,6.156
2002-03-08,181.985,207.769,102.376,20.834,694.891,643.671,231.883,29.908,459.266,321.62,101.415,11.265,394.876,199.705,57.619,6.158
2002-03-09,181.924,207.77,102.376,20.832,694.757,643.722,231.928,29.912,459.238,321.664,101.44,11.269,394.934,199.738,57.631,6.161
2002-03-10,181.862,207.771,102.376,20.83,694.624,643.772,231.972,29.916,459.209,321.709,101.466,11.273,394.991,199.77,57.643,6.163
