"nperiod","year","month","measure","il60","il70","il80","il90","basic60","basic70","basic80","basic90","pri60","pri70","pri80","pri90","st60","st70","st80","st90","all"
1,2002,1,"persons.year",5752.728,6437.615,3176.512,648.101,21809.61,19875.148,7112.431,919.695,14295.786,9900.279,3107.911,344.151,12167.585,6142.782,1764.55,188.225,113643.109
2,2002,2,"persons.year",5136.714,5816.377,2867.218,583.807,19557.489,17986.155,6465.105,834.683,12879.818,8977.786,2825.801,313.46,11024.778,5572.735,1606.007,171.312,102619.245
3,2002,3,"persons.year",5626.316,6441.067,3173.709,645.405,21508.515,19966.316,7199.378,928.194,14230.184,9981.227,3150.228,350.21,12255.457,6198.943,1789.197,191.52,113635.866
4,2002,4,"persons.year",5388.284,6241.341,3070.155,624.293,20704.149,19363.875,7006.8,903.861,13756.541,9696.772,3071.742,342.252,11914.837,6026.57,1742.889,187.205,110041.566
5,2002,5,"persons.year",5513.101,6459.568,3174.324,645.963,21293.367,20046.823,7283.33,941.386,14209.439,10055.426,3198.094,357.003,12366.871,6256.711,1813.942,194.723,113810.071
6,2002,6,"persons.year",5289.442,6255.045,3076.827,625.301,20516.294,19435.645,7090.404,916.564,13744.894,9763.928,3117.236,349.654,12015.671,6084.876,1769.45,189.47,110240.701
7,2002,7,"persons.year",5424.879,6466.273,3181.342,642.362,21120.432,20118.839,7361.035,950.708,14207.804,10117.735,3241.057,364.715,12468.942,6316.613,1842.805,197.092,114022.633
8,2002,8,"persons.year",5385.115,6466.431,3183.085,639.362,21054.994,20146.702,7396.077,956.178,14222.146,10145.808,3262.231,367.114,12531.09,6346.628,1857.867,199.116,114159.944
9,2002,9,"persons.year",5176.393,6256.581,3082.127,621.102,20323.891,19519.167,7198.054,933.417,13779.113,9848.185,3178.282,359.139,12192.62,6170.71,1812.712,195.225,110646.718
10,2002,10,"persons.year",5316.834,6461.091,3186.484,643.422,20939.703,20194.606,7476.975,972.445,14254.409,10207.332,3305.207,375.258,12666.324,6404.317,1887.556,203.879,114495.842
11,2002,11,"persons.year",5113.184,6247.703,3083.265,622.632,20197.544,19559.233,7271.227,945.636,13808.844,9904.804,3218.7,365.676,12312.553,6224.399,1839.763,199.22,110914.383
