"nperiod","year","month","measure","all","ily","ilo","bay","bao","pry","pro","sty","sto"
1,2002,1,"persons.year",113643.109,12190.343,3824.613,41684.758,8032.126,24196.065,3452.062,18310.367,1952.775
2,2002,2,"persons.year",102619.245,10953.091,3451.025,37543.644,7299.788,21857.604,3139.261,16597.513,1777.319
3,2002,3,"persons.year",113635.866,12067.383,3819.114,41474.831,8127.572,24211.411,3500.438,18454.4,1980.717
4,2002,4,"persons.year",110041.566,11629.625,3694.448,40068.024,7910.661,23453.313,3413.994,17941.407,1930.094
5,2002,5,"persons.year",113810.071,11972.669,3820.287,41340.19,8224.716,24264.865,3555.097,18623.582,2008.665
6,2002,6,"persons.year",110240.701,11544.487,3702.128,39951.939,8006.968,23508.822,3466.89,18100.547,1958.92
7,2002,7,"persons.year",114022.633,11891.152,3823.704,41239.271,8311.743,24325.539,3605.772,18785.555,2039.897
8,2002,8,"persons.year",114159.944,11851.546,3822.447,41201.696,8352.255,24367.954,3629.345,18877.718,2056.983
9,2002,9,"persons.year",110646.718,11432.974,3703.229,39843.058,8131.471,23627.298,3537.421,18363.33,2007.937
10,2002,10,"persons.year",114495.842,11777.925,3829.906,41134.309,8449.42,24461.741,3680.465,19070.641,2091.435
11,2002,11,"persons.year",110914.383,11360.887,3705.897,39756.777,8216.863,23713.648,3584.376,18536.952,2038.983
12,2002,12,"persons.year",114711.11,11695.616,3827.732,41020.534,8533.398,24542.576,3727.639,19242.263,2121.352
13,2003,1,"persons.year",114829.925,11644.717,3826.531,40959.353,8579.285,24586.651,3752.881,19344.653,2135.854
14,2003,2,"persons.year",103839.617,10473.977,3454.894,36947.138,7790.312,22250.743,3413.319,17567.976,1941.258
15,2003,3,"persons.year",115145.371,11548.074,3827.584,40866.616,8671.109,24691.603,3810.264,19566.179,2163.942
16,2003,4,"persons.year",111624.955,11134.013,3706.405,39516.735,8435.612,23955.771,3715.824,19050.691,2109.904
17,2003,5,"persons.year",115517.245,11466.797,3829.461,40798.291,8761.286,24809.44,3863.695,19792.196,2196.079
18,2003,6,"persons.year",111938.275,11057.456,3703.871,39448.899,8514.94,24059.923,3759.737,19255.684,2137.765
19,2003,7,"persons.year",115813.468,11390.078,3820.247,40731.094,8825.418,24915.951,3905.274,20005.83,2219.576
20,2003,8,"persons.year",115935.942,11351.755,3807.688,40698.456,8843.371,24972.202,3923.253,20108.313,2230.904
21,2003,9,"persons.year",112330.17,10948.168,3676.792,39354.583,8584.225,24222.764,3815.215,19557.097,2171.326
